x y R1 R2 R3 R1x R1y R1z R2x R2y R2z R3x R3y R3z
1 27 666291.866599 744450.949213 675844.190233 -7122.96 662435 71229.6 -615622 -416190 -44751.6 622745 -246245 91201.8
1 28 663748.474277 733828.905476 671916.805398 -7171.99 659823 71719.9 -608877 -407204 -44261.3 616049 -252619 90221.2
1 29 661108.509391 723279.754714 668019.705091 -7221.03 657113 72210.3 -602131 -398316 -43771 609352 -258797 89240.5
1 30 658372.021193 712803.064812 664147.948901 -7270.06 654305 72700.6 -595386 -389526 -43280.6 602656 -264780 88259.9
1 31 655539.061118 702398.396430 660296.651986 -7319.09 651399 73190.9 -588641 -380834 -42790.3 595960 -270565 87279.2
1 32 652609.682904 692065.302922 656460.988413 -7368.13 648395 73681.3 -581896 -372240 -42300 589264 -276155 86298.5
1 33 649583.942724 681803.330246 652636.194239 -7417.16 645293 74171.6 -575150 -363744 -41809.6 582568 -281549 85317.9
1 34 646461.899323 671612.016874 648817.570312 -7466.19 642093 74661.9 -568405 -355346 -41319.3 575871 -286746 84337.2
1 35 643243.614168 661490.893712 645000.484817 -7515.23 638794 75152.3 -561660 -347046 -40829 569175 -291748 83356.5
1 36 639929.151606 651439.484010 641180.375566 -7564.26 635398 75642.6 -554915 -338845 -40338.6 562479 -296553 82375.9
1 37 636518.579035 641457.303281 637352.752028 -7613.29 631903 76132.9 -548170 -330741 -39848.3 555783 -301162 81395.2
1 38 633011.967082 631543.859218 633513.197118 -7662.33 628311 76623.3 -541424 -322735 -39358 549087 -305575 80414.5
1 39 629409.389807 621698.651611 629657.368755 -7711.36 624620 77113.6 -534679 -314828 -38867.7 542391 -309792 79433.9
1 40 625710.924904 611921.172268 625781.001181 -7760.39 620831 77603.9 -527934 -307019 -38377.3 535694 -313813 78453.2
1 41 621916.653932 602210.904934 621879.906070 -7809.43 616945 78094.3 -521189 -299307 -37887 528998 -317637 77472.5
1 42 618026.662552 592567.325217 617949.973427 -7858.46 612960 78584.6 -514444 -291694 -37396.7 522302 -321266 76491.9
1 43 614041.040792 582989.900510 613987.172284 -7907.49 608877 79074.9 -507698 -284179 -36906.3 515606 -324698 75511.2
1 44 609959.883327 573478.089917 609987.551207 -7956.52 604696 79565.2 -500953 -276762 -36416 508910 -327934 74530.5
1 45 605783.289777 564031.344184 605947.238634 -8005.56 600417 80055.6 -494208 -269442 -35925.7 502213 -330974 73549.9
1 46 601511.365039 554649.105623 601862.443032 -8054.59 596040 80545.9 -487463 -262221 -35435.3 495517 -333818 72569.2
1 47 597144.219631 545330.808054 597729.452905 -8103.62 591565 81036.2 -480718 -255098 -34945 488821 -336466 71588.5
1 48 592681.970083 536075.876728 593544.636654 -8152.66 586991 81526.6 -473972 -248074 -34454.7 482125 -338918 70607.9
1 49 588124.739338 526883.728276 589304.442299 -8201.69 582320 82016.9 -467227 -241147 -33964.3 475429 -341173 69627.2
1 50 583472.657205 517753.770638 585005.397074 -8250.72 577551 82507.2 -460482 -234318 -33474 468733 -343233 68646.6
1 51 578725.860839 508685.403012 580644.106906 -8299.76 572683 82997.6 -453737 -227587 -32983.7 462036 -345096 67665.9
1 52 573884.495266 499678.015799 576217.255784 -8348.79 567718 83487.9 -446991 -220955 -32493.3 455340 -346763 66685.2
1 53 568948.713952 490730.990548 571721.605038 -8397.82 562654 83978.2 -440246 -214420 -32003 448644 -348234 65704.6
1 54 563918.679422 481843.699909 567153.992518 -8446.86 557493 84468.6 -433501 -207984 -31512.7 441948 -349509 64723.9
1 55 558794.563937 473015.507589 562511.331700 -8495.89 552233 84958.9 -426756 -201645 -31022.3 435252 -350588 63743.2
1 56 553576.550227 464245.768310 557790.610718 -8544.92 546875 85449.2 -420011 -195405 -30532 428556 -351470 62762.6
1 57 548264.832293 455533.827767 552988.891325 -8593.96 541419 85939.6 -413265 -189263 -30041.7 421859 -352157 61781.9
1 58 542859.616288 446879.022601 548103.307811 -8642.99 535865 86429.9 -406520 -183218 -29551.3 415163 -352647 60801.2
1 59 537361.121469 438280.680359 543131.065853 -8692.02 530213 86920.2 -399775 -177272 -29061 408467 -352941 59820.6
1 60 531769.581257 429738.119477 538069.441336 -8741.06 524463 87410.6 -393030 -171424 -28570.7 401771 -353039 58839.9
1 61 526085.244384 421250.649250 532915.779129 -8790.09 518615 87900.9 -386285 -165674 -28080.3 395075 -352941 57859.2
1 62 520308.376162 412817.569819 527667.491829 -8839.12 512669 88391.2 -379539 -160022 -27590 388378 -352647 56878.6
1 63 514439.259877 404438.172154 522322.058484 -8888.16 506625 88881.6 -372794 -154468 -27099.7 381682 -352157 55897.9
1 64 508478.198325 396111.738048 516877.023290 -8937.19 500483 89371.9 -366049 -149012 -26609.3 374986 -351470 54917.2
1 65 502425.515508 387837.540110 511329.994272 -8986.22 494242 89862.2 -359304 -143655 -26119 368290 -350588 53936.6
1 66 496281.558500 379614.841769 505678.641956 -9035.26 487904 90352.6 -352558 -138395 -25628.7 361594 -349509 52955.9
1 67 490046.699529 371442.897276 499920.698030 -9084.29 481467 90842.9 -345813 -133233 -25138.3 354898 -348234 51975.2
1 68 483721.338268 363320.951720 494053.954002 -9133.32 474933 91333.2 -339068 -128170 -24648 348201 -346763 50994.6
1 69 477305.904390 355248.241037 488076.259857 -9182.36 468300 91823.6 -332323 -123204 -24157.7 341505 -345096 50013.9
1 70 470800.860407 347223.992040 481985.522716 -9231.39 461569 92313.9 -325578 -118337 -23667.3 334809 -343233 49033.2
1 71 464206.704834 339247.422440 475779.705500 -9280.42 454741 92804.2 -318832 -113567 -23177 328113 -341173 48052.6
1 72 457523.975720 331317.740883 469456.825601 -9329.46 447814 93294.6 -312087 -108896 -22686.7 321417 -338918 47071.9
1 73 450753.254605 323434.146983 463014.953562 -9378.49 440789 93784.9 -305342 -104323 -22196.3 314720 -336466 46091.3
1 74 443895.170943 315595.831376 456452.211775 -9427.52 433666 94275.2 -298597 -99847.7 -21706 308024 -333818 45110.6
1 75 436950.407084 307801.975762 449766.773185 -9476.56 426445 94765.6 -291852 -95470.6 -21215.7 301328 -330974 44129.9
1 76 429919.703868 300051.752967 442956.860011 -9525.59 419126 95255.9 -285106 -91191.5 -20725.3 294632 -327934 43149.3
1 77 422803.866943 292344.327001 436020.742491 -9574.62 411709 95746.2 -278361 -87010.6 -20235 287936 -324698 42168.6
1 78 415603.773906 284678.853134 428956.737635 -9623.66 404194 96236.6 -271616 -82927.7 -19744.7 281240 -321266 41187.9
1 79 408320.382388 277054.477968 421763.208006 -9672.69 396580 96726.9 -264871 -78942.8 -19254.4 274543 -317637 40207.3
1 80 400954.739243 269470.339515 414438.560516 -9721.72 388869 97217.2 -258125 -75056.1 -18764 267847 -313813 39226.6
1 81 393507.991004 261925.567296 406981.245245 -9770.76 381059 97707.6 -251380 -71267.4 -18273.7 261151 -309792 38245.9
1 82 385981.395821 254419.282424 399389.754285 -9819.79 373152 98197.9 -244635 -67576.7 -17783.4 254455 -305575 37265.3
1 83 378376.337116 246950.597716 391662.620596 -9868.82 365146 98688.2 -237890 -63984.2 -17293 247759 -301162 36284.6
1 84 370694.339253 239518.617796 383798.416902 -9917.85 357043 99178.5 -231145 -60489.7 -16802.7 241062 -296553 35303.9
1 85 362937.085566 232122.439209 375795.754592 -9966.89 348841 99668.9 -224399 -57093.2 -16312.4 234366 -291748 34323.3
1 86 355106.439158 224761.150549 367653.282659 -10015.9 340541 100159 -217654 -53794.9 -15822 227670 -286746 33342.6
1 87 347204.466964 217433.832578 359369.686655 -10065 332144 100650 -210909 -50594.6 -15331.7 220974 -281549 32361.9
1 88 339233.467682 210139.558372 350943.687668 -10114 323648 101140 -204164 -47492.3 -14841.4 214278 -276155 31381.3
1 89 331196.004283 202877.393453 342374.041333 -10163 315054 101630 -197419 -44488.2 -14351 207582 -270565 30400.6
1 90 323094.941971 195646.395942 333659.536856 -10212.1 306362 102121 -190673 -41582.1 -13860.7 200885 -264780 29419.9
1 91 314933.492656 188445.616716 324798.996066 -10261.1 297572 102611 -183928 -38774 -13370.4 194189 -258797 28439.3
1 92 306715.267212 181274.099565 315791.272493 -10310.1 288683 103101 -177183 -36064.1 -12880 187493 -252619 27458.6
1 93 298444.337094 174130.881360 306635.250465 -10359.2 279697 103592 -170438 -33452.2 -12389.7 180797 -246245 26478
1 94 290125.307218 167014.992235 297329.844231 -10408.2 270613 104082 -163692 -30938.3 -11899.4 174101 -239675 25497.3
1 95 281763.402454 159925.455756 287873.997105 -10457.2 261431 104572 -156947 -28522.6 -11409 167404 -232908 24516.6
1 96 273364.570593 152861.289118 278266.680637 -10506.3 252150 105063 -150202 -26204.9 -10918.7 160708 -225945 23536
1 97 264935.605305 145821.503334 268506.893798 -10555.3 242772 105553 -143457 -23985.2 -10428.4 154012 -218786 22555.3
